seed,formulas,max_probability_error,max_score_error,max_finite_difference_error
0,254,1.1102230246251565e-16,1.1102230246251565e-16,1.4339518461525813e-10
1,254,1.1102230246251565e-16,2.220446049250313e-16,2.3325741338453554e-10
2,254,1.1102230246251565e-16,1.1102230246251565e-16,2.5477953080610405e-10
3,254,1.1102230246251565e-16,2.220446049250313e-16,2.2204463013961874e-10
4,254,1.1102230246251565e-16,2.220446049250313e-16,2.3245301833967438e-10
5,254,1.1102230246251565e-16,2.220446049250313e-16,2.1724755328023093e-10
6,254,1.1102230246251565e-16,2.220446049250313e-16,2.2204466838170619e-10
7,254,1.1102230246251565e-16,1.1102230246251565e-16,1.209289335335484e-10
8,254,1.1102230246251565e-16,2.220446049250313e-16,2.505643470485097e-10
9,254,1.1102230246251565e-16,1.1102230246251565e-16,5.201041819447028e-10
10,254,1.1102230246251565e-16,1.6653345369377348e-16,2.7244806410919864e-10
11,254,1.1102230246251565e-16,1.1102230246251565e-16,2.756815886684194e-10
12,254,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-10
13,254,1.1102230246251565e-16,3.3306690738754696e-16,2.2204465291592914e-10
14,254,2.220446049250313e-16,2.220446049250313e-16,3.321687369606252e-10
15,254,1.1102230246251565e-16,2.220446049250313e-16,2.2204466146979228e-10
16,254,1.1102230246251565e-16,1.1102230246251565e-16,2.47666886998843e-10
17,254,1.1102230246251565e-16,1.1102230246251565e-16,3.165596673682103e-10
18,254,1.1102230246251565e-16,2.220446049250313e-16,2.3038770891048443e-10
19,254,1.1102230246251565e-16,1.1102230246251565e-16,3.906486245597307e-10
20,254,1.1102230246251565e-16,2.220446049250313e-16,2.513668162507088e-10
21,254,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-10
22,254,1.1102230246251565e-16,3.3306690738754696e-16,1.4738937847980083e-10
23,254,1.1102230246251565e-16,2.220446049250313e-16,3.370842494021531e-10
24,254,1.1102230246251565e-16,1.1102230246251565e-16,2.667643883569326e-10
