seed,events,taxonomy_predicates,max_probability_error,max_score_error
0,254,15,0.0,1.1102230246251565e-16
1,254,15,0.0,1.1102230246251565e-16
2,254,15,0.0,1.1102230246251565e-16
3,254,15,0.0,1.1102230246251565e-16
4,254,15,0.0,1.1102230246251565e-16
5,254,15,0.0,1.1102230246251565e-16
6,254,15,0.0,1.1102230246251565e-16
7,254,15,0.0,1.1102230246251565e-16
8,254,15,0.0,1.1102230246251565e-16
9,254,15,0.0,2.220446049250313e-16
10,254,15,0.0,5.551115123125783e-17
11,254,15,0.0,1.1102230246251565e-16
12,254,15,0.0,1.1102230246251565e-16
13,254,15,0.0,1.1102230246251565e-16
14,254,15,0.0,1.1102230246251565e-16
15,254,15,0.0,1.1102230246251565e-16
16,254,15,0.0,1.1102230246251565e-16
17,254,15,0.0,1.1102230246251565e-16
18,254,15,0.0,1.1102230246251565e-16
19,254,15,0.0,1.1102230246251565e-16
20,254,15,0.0,1.1102230246251565e-16
21,254,15,0.0,1.1102230246251565e-16
22,254,15,0.0,1.1102230246251565e-16
23,254,15,0.0,1.1102230246251565e-16
24,254,15,0.0,1.1102230246251565e-16
