seed,events,max_probability_error,max_score_error
0,826,1.1102230246251565e-16,2.220446049250313e-16
1,826,1.1102230246251565e-16,2.220446049250313e-16
2,826,1.1102230246251565e-16,2.220446049250313e-16
3,826,2.220446049250313e-16,2.220446049250313e-16
4,826,1.1102230246251565e-16,2.220446049250313e-16
5,826,1.1102230246251565e-16,1.1102230246251565e-16
6,826,1.1102230246251565e-16,2.220446049250313e-16
7,826,1.1102230246251565e-16,2.220446049250313e-16
8,826,1.1102230246251565e-16,2.220446049250313e-16
9,826,2.220446049250313e-16,2.220446049250313e-16
10,826,1.1102230246251565e-16,2.220446049250313e-16
11,826,1.1102230246251565e-16,3.3306690738754696e-16
12,826,1.1102230246251565e-16,1.6653345369377348e-16
13,826,1.1102230246251565e-16,2.220446049250313e-16
14,826,2.220446049250313e-16,3.3306690738754696e-16
15,826,1.1102230246251565e-16,2.220446049250313e-16
16,826,1.1102230246251565e-16,2.220446049250313e-16
17,826,1.1102230246251565e-16,3.3306690738754696e-16
18,826,1.1102230246251565e-16,2.220446049250313e-16
19,826,1.1102230246251565e-16,2.220446049250313e-16
20,826,1.1102230246251565e-16,3.3306690738754696e-16
21,826,1.1102230246251565e-16,2.220446049250313e-16
22,826,2.220446049250313e-16,3.3306690738754696e-16
23,826,2.220446049250313e-16,2.220446049250313e-16
24,826,1.1102230246251565e-16,2.220446049250313e-16
