seed,operator,probability_error,score_max_error
0,negation,2.220446049250313e-16,1.1102230246251565e-16
0,conjunction_ci,0.0,5.551115123125783e-17
0,disjunction_ci,2.220446049250313e-16,9.71445146547012e-17
0,disjunction_me,1.1102230246251565e-16,5.3668362670520294e-17
1,negation,0.0,2.883962288263744e-17
1,conjunction_ci,0.0,0.0
1,disjunction_ci,0.0,5.551115123125783e-17
1,disjunction_me,0.0,5.551115123125783e-17
2,negation,0.0,5.551115123125783e-17
2,conjunction_ci,0.0,0.0
2,disjunction_ci,0.0,1.3877787807814457e-17
2,disjunction_me,0.0,6.938893903907228e-17
3,negation,2.7755575615628914e-17,1.1102230246251565e-16
3,conjunction_ci,0.0,0.0
3,disjunction_ci,0.0,3.469446951953614e-17
3,disjunction_me,2.220446049250313e-16,6.297611526094175e-17
4,negation,0.0,4.5179195726001576e-17
4,conjunction_ci,0.0,1.3877787807814457e-17
4,disjunction_ci,1.1102230246251565e-16,2.42861286636753e-17
4,disjunction_me,0.0,4.766078284585581e-17
5,negation,0.0,5.551115123125783e-17
5,conjunction_ci,0.0,0.0
5,disjunction_ci,5.551115123125783e-17,5.551115123125783e-17
5,disjunction_me,0.0,5.064680149053605e-17
6,negation,1.1102230246251565e-16,8.273154794458414e-17
6,conjunction_ci,0.0,0.0
6,disjunction_ci,0.0,5.551115123125783e-17
6,disjunction_me,5.551115123125783e-17,1.1102230246251565e-16
7,negation,0.0,4.163336342344337e-17
7,conjunction_ci,0.0,0.0
7,disjunction_ci,1.1102230246251565e-16,2.7755575615628914e-17
7,disjunction_me,1.1102230246251565e-16,3.674913685059473e-17
8,negation,1.1102230246251565e-16,1.207590858399115e-16
8,conjunction_ci,0.0,1.3877787807814457e-17
8,disjunction_ci,0.0,9.020562075079397e-17
8,disjunction_me,0.0,1.2272588407709504e-16
9,negation,0.0,4.0770251552312994e-17
9,conjunction_ci,0.0,0.0
9,disjunction_ci,0.0,4.163336342344337e-17
9,disjunction_me,0.0,1.6653345369377348e-16
10,negation,2.220446049250313e-16,1.3877787807814457e-16
10,conjunction_ci,0.0,0.0
10,disjunction_ci,0.0,6.938893903907228e-17
10,disjunction_me,0.0,5.551115123125783e-17
11,negation,0.0,8.326672684688674e-17
11,conjunction_ci,0.0,0.0
11,disjunction_ci,0.0,8.326672684688674e-17
11,disjunction_me,0.0,5.211649742075978e-17
12,negation,0.0,2.7755575615628914e-17
12,conjunction_ci,0.0,0.0
12,disjunction_ci,0.0,2.7755575615628914e-17
12,disjunction_me,0.0,2.7755575615628914e-17
13,negation,5.551115123125783e-17,1.1102230246251565e-16
13,conjunction_ci,0.0,0.0
13,disjunction_ci,0.0,2.2551405187698492e-17
13,disjunction_me,1.1102230246251565e-16,5.580088031179756e-17
14,negation,2.7755575615628914e-17,1.1102230246251565e-16
14,conjunction_ci,0.0,0.0
14,disjunction_ci,0.0,5.551115123125783e-17
14,disjunction_me,1.1102230246251565e-16,1.9277401717772526e-17
15,negation,0.0,6.2590736913962e-17
15,conjunction_ci,0.0,0.0
15,disjunction_ci,5.551115123125783e-17,5.551115123125783e-17
15,disjunction_me,1.1102230246251565e-16,6.814781628869505e-17
16,negation,0.0,6.20184311184098e-17
16,conjunction_ci,0.0,0.0
16,disjunction_ci,0.0,1.1102230246251565e-16
16,disjunction_me,1.1102230246251565e-16,5.551115123125783e-17
17,negation,0.0,1.1102230246251565e-16
17,conjunction_ci,0.0,0.0
17,disjunction_ci,0.0,5.551115123125783e-17
17,disjunction_me,0.0,5.551115123125783e-17
18,negation,1.1102230246251565e-16,8.90989013894597e-17
18,conjunction_ci,0.0,1.1102230246251565e-16
18,disjunction_ci,2.7755575615628914e-17,1.1102230246251565e-16
18,disjunction_me,1.1102230246251565e-16,8.96697925030675e-17
19,negation,0.0,6.245004513516506e-17
19,conjunction_ci,0.0,0.0
19,disjunction_ci,0.0,5.551115123125783e-17
19,disjunction_me,0.0,5.551115123125783e-17
20,negation,0.0,6.245004513516506e-17
20,conjunction_ci,0.0,0.0
20,disjunction_ci,0.0,8.326672684688674e-17
20,disjunction_me,0.0,2.3633348259675652e-17
21,negation,1.1102230246251565e-16,1.3877787807814457e-16
21,conjunction_ci,0.0,3.469446951953614e-18
21,disjunction_ci,0.0,6.591949208711867e-17
21,disjunction_me,0.0,1.1102230246251565e-16
22,negation,0.0,5.962791663333079e-17
22,conjunction_ci,0.0,1.1102230246251565e-16
22,disjunction_ci,0.0,1.1102230246251565e-16
22,disjunction_me,0.0,5.4744513161710626e-17
23,negation,0.0,1.1102230246251565e-16
23,conjunction_ci,0.0,2.7755575615628914e-17
23,disjunction_ci,0.0,5.551115123125783e-17
23,disjunction_me,0.0,4.5694536608259454e-17
24,negation,1.6653345369377348e-16,3.3306690738754696e-16
24,conjunction_ci,0.0,5.551115123125783e-17
24,disjunction_ci,1.1102230246251565e-16,8.326672684688674e-17
24,disjunction_me,0.0,3.7129443273294646e-17
